state,state_group,state_lat,state_long
Alabama,1,30.3896808624268,-87.4620056152344
Alabama,1,30.3724918365479,-87.4849319458008
Alabama,1,30.3724918365479,-87.525032043457
Alabama,1,30.3323860168457,-87.53076171875
Alabama,1,30.3266544342041,-87.5708694458008
Alabama,1,30.3266544342041,-87.5880584716797
Alabama,1,30.3094673156738,-87.5937881469727
Alabama,1,30.286548614502,-87.5937881469727
Alabama,1,30.275089263916,-87.6740036010742
Alabama,1,30.2579021453857,-87.8115158081055
Alabama,1,30.2464408874512,-87.8802642822266
Alabama,1,30.2464408874512,-87.9203720092774
Alabama,1,30.2464408874512,-87.9547500610352
Alabama,1,30.2407131195068,-88.0063171386719
Alabama,1,30.2521705627441,-88.0177764892578
Alabama,1,30.2693595886231,-88.0120468139648
Alabama,1,30.275089263916,-87.9948577880859
Alabama,1,30.275089263916,-87.9547500610352
Alabama,1,30.2808208465576,-87.9031829833984
Alabama,1,30.286548614502,-87.8286972045899
Alabama,1,30.286548614502,-87.8000564575195
Alabama,1,30.3266544342041,-87.8000564575195
Alabama,1,30.3438453674316,-87.8172378540039
Alabama,1,30.3839530944824,-87.8401565551758
Alabama,1,30.4011421203613,-87.8516235351563
Alabama,1,30.4125995635986,-87.8745346069336
Alabama,1,30.4240608215332,-87.9031829833984
Alabama,1,30.4469795227051,-87.9261016845703
Alabama,1,30.4928131103516,-87.9318313598633
Alabama,1,30.527193069458,-87.9432907104492
Alabama,1,30.5615692138672,-87.9203720092774
Alabama,1,30.5844879150391,-87.9146423339844
Alabama,1,30.6188640594482,-87.9261016845703
Alabama,1,30.670431137085,-87.9203720092774
Alabama,1,30.6990776062012,-87.9490203857422
Alabama,1,30.7907524108887,-87.989128112793
Alabama,1,30.7964820861816,-88.0063171386719
Alabama,1,30.802209854126,-88.0177764892578
Alabama,1,30.7907524108887,-88.0349655151367
Alabama,1,30.7563762664795,-88.0464248657227
Alabama,1,30.727725982666,-88.0521545410156
Alabama,1,30.7105388641357,-88.0521545410156
Alabama,1,30.6876201629639,-88.063606262207
Alabama,1,30.6818885803223,-88.0693435668945
Alabama,1,30.6303253173828,-88.0808029174805
Alabama,1,30.6131362915039,-88.0808029174805
Alabama,1,30.6074066162109,-88.0979919433594
Alabama,1,30.5959453582764,-88.1094436645508
Alabama,1,30.5844879150391,-88.1151809692383
Alabama,1,30.5558376312256,-88.1094436645508
Alabama,1,30.4813556671143,-88.1209106445313
Alabama,1,30.4412479400635,-88.1209106445313
Alabama,1,30.3896808624268,-88.1266403198242
Alabama,1,30.3610343933106,-88.1323699951172
Alabama,1,30.3438453674316,-88.1438293457031
Alabama,1,30.3381156921387,-88.161018371582
Alabama,1,30.3381156921387,-88.172477722168
Alabama,1,30.3553047180176,-88.1896591186523
Alabama,1,30.3782234191895,-88.2240447998047
Alabama,1,30.3954105377197,-88.2354965209961
Alabama,1,30.4011421203613,-88.2870635986328
Alabama,1,30.4011421203613,-88.3157119750977
Alabama,1,30.4011421203613,-88.3329010009766
Alabama,1,30.4240608215332,-88.35009765625
Alabama,1,30.4125995635986,-88.3902053833008
Alabama,1,30.7334575653076,-88.4073867797852
Alabama,1,30.9970169067383,-88.4188461303711
Alabama,1,31.123067855835,-88.430305480957
Alabama,1,31.432466506958,-88.4532241821289
Alabama,1,31.6960258483887,-88.4646835327149
Alabama,1,31.8908290863037,-88.4761428833008
Alabama,1,32.22314453125,-88.430305480957
Alabama,1,32.3090896606445,-88.430305480957
Alabama,1,32.5783805847168,-88.3902053833008
Alabama,1,32.9221534729004,-88.35009765625
Alabama,1,32.9851799011231,-88.3386306762695
Alabama,1,33.2831192016602,-88.2985305786133
Alabama,1,33.5294914245605,-88.2756042480469
Alabama,1,33.7357559204102,-88.2526931762695
Alabama,1,34.0623397827148,-88.2068557739258
Alabama,1,34.0795288085938,-88.2068557739258
Alabama,1,34.3144416809082,-88.1839370727539
Alabama,1,34.4634094238281,-88.166748046875
Alabama,1,34.5837326049805,-88.1495513916016
Alabama,1,34.8988571166992,-88.1094436645508
Alabama,1,34.9045906066895,-88.1323699951172
Alabama,1,34.9504280090332,-88.166748046875
Alabama,1,34.996265411377,-88.1896591186523
Alabama,1,35.0134506225586,-88.1839370727539
Alabama,1,35.0134506225586,-87.989128112793
Alabama,1,35.0077209472656,-87.6052474975586
Alabama,1,35.0019912719727,-87.2270965576172
Alabama,1,35.0019912719727,-87.2041702270508
Alabama,1,34.996265411377,-86.8260269165039
Alabama,1,34.9905319213867,-86.7801895141602
Alabama,1,34.9905319213867,-86.3103637695313
Alabama,1,34.9848022460938,-85.8519973754883
Alabama,1,34.9790725708008,-85.6113510131836
Alabama,1,34.8415641784668,-85.5884399414063
Alabama,1,34.6181106567383,-85.5426025390625
Alabama,1,34.5837326049805,-85.5254058837891
Alabama,1,34.2628746032715,-85.4681167602539
Alabama,1,34.0795288085938,-85.4280090332031
Alabama,1,33.9592094421387,-85.4050903320313
Alabama,1,33.907642364502,-85.3936309814453
Alabama,1,33.6612701416016,-85.3477935791016
Alabama,1,33.4951095581055,-85.3134155273438
Alabama,1,33.4320907592773,-85.2962265014648
Alabama,1,33.1169624328613,-85.2446594238281
Alabama,1,33.1054992675781,-85.2389297485352
Alabama,1,32.8705902099609,-85.1930923461914
Alabama,1,32.8591270446777,-85.1930923461914
Alabama,1,32.8419418334961,-85.1701812744141
Alabama,1,32.7903747558594,-85.1472549438477
Alabama,1,32.7674560546875,-85.1300735473633
Alabama,1,32.7502670288086,-85.1300735473633
Alabama,1,32.733081817627,-85.1243438720703
